DDM,EXP,val,subj_idx,gLen
drift,cInfo,-0.0037166878555862804,19,1
thresh,0,1.1188055676936597,19,1
thresh,oDel,0.0016567909663215785,19,1
thresh,cInfo,-0.021785532436449824,19,1
bias,0,-0.05485666206825357,19,1
bias,oDel,0.030210438179094214,19,1
bias,cInfo,0.1952541408615162,19,1
drift,0,-0.012301622294343388,20,6
drift,oDel,0.04940863715921973,20,6
drift,cInfo,0.10817440283738466,20,6
thresh,0,0.8407590450957497,20,6
thresh,oDel,-7.279602853995695e-4,20,6
thresh,cInfo,-0.00568024631639456,20,6
bias,0,-0.16285128147725386,20,6
bias,oDel,0.0118136736094362,20,6
bias,cInfo,0.18303720446431818,20,6
drift,0,0.059361969889068895,20,1
drift,oDel,0.050008306944020864,20,1
drift,cInfo,0.2945588414442088,20,1
thresh,0,0.9369438090747032,20,1
thresh,oDel,-0.0015486200402510244,20,1
thresh,cInfo,0.008112769730129836,20,1
bias,0,-0.01476706927638921,20,1
bias,oDel,0.013478815098868844,20,1
bias,cInfo,0.11918412762061012,20,1
drift,0,0.09283957439073967,22,6
drift,oDel,0.033599980053743136,22,6
drift,cInfo,-0.23833968753486928,22,6
thresh,0,0.9830892497077216,22,6
thresh,oDel,0.00426238460162043,22,6
thresh,cInfo,0.0367235626798142,22,6
bias,0,-0.10674687642801489,22,6
bias,oDel,-0.006009538770965981,22,6
bias,cInfo,-0.029463401213484605,22,6
drift,0,-0.010113181372166656,22,1
drift,oDel,0.04886831990174351,22,1
drift,cInfo,0.024944840663234838,22,1
thresh,0,1.0604977083674056,22,1
thresh,oDel,9.5382914493167e-4,22,1
thresh,cInfo,-0.03912246221590209,22,1
bias,0,0.01906363389267185,22,1
bias,oDel,0.029173447204985804,22,1
bias,cInfo,0.04110988286500478,22,1
drift,0,0.17548649200063102,23,6
drift,oDel,0.0417468177299938,23,6
drift,cInfo,-0.13870428277507696,23,6
thresh,0,0.8978582650043518,23,6
thresh,oDel,0.0025779818382874534,23,6
thresh,cInfo,-0.027016074505794355,23,6
bias,0,-0.10177853059815545,23,6
bias,oDel,0.01988061450176625,23,6
bias,cInfo,0.29287326044932266,23,6
drift,0,-0.14290642318199911,23,1
drift,oDel,0.07771644850516313,23,1
drift,cInfo,-0.328635442035963,23,1
thresh,0,0.6764371833659271,23,1
thresh,oDel,0.003322367539083071,23,1
thresh,cInfo,-0.0567566115583367,23,1
bias,0,0.028789701345450114,23,1
bias,oDel,0.011502642854675876,23,1
bias,cInfo,0.24965310077178163,23,1
drift,0,-0.7502158248887972,25,6
drift,oDel,0.007603895920271341,25,6
drift,cInfo,-0.02101949533787194,25,6
thresh,0,0.4248086040822493,25,6
thresh,oDel,5.181616972305762e-4,25,6
thresh,cInfo,0.01106010276737039,25,6
bias,0,0.09190210923638464,25,6
bias,oDel,0.002291559716109834,25,6
bias,cInfo,0.11302775210413181,25,6
drift,0,0.1419589881147472,25,1
drift,oDel,0.014854006899501242,25,1
drift,cInfo,1.0262773849007247,25,1
thresh,0,0.43466029027628406,25,1
thresh,oDel,-6.462286378864213e-4,25,1
thresh,cInfo,0.0018122203503109359,25,1
bias,0,-0.016395822765029655,25,1
bias,oDel,-0.007461684221336848,25,1
bias,cInfo,0.15919505447902751,25,1
drift,0,-0.18488293072668782,26,6
drift,oDel,0.046079223137407276,26,6
drift,cInfo,-0.12266865013464397,26,6
thresh,0,0.8229641243296653,26,6
thresh,oDel,4.904091544057973e-4,26,6
thresh,cInfo,0.03613469346839053,26,6
bias,0,0.10660559175253037,26,6
bias,oDel,0.019759759239362528,26,6
bias,cInfo,0.1532991579242332,26,6
drift,0,0.09698029700142506,26,1
drift,oDel,0.07562856440025344,26,1
drift,cInfo,0.2923248392606583,26,1
thresh,0,0.8942041928963479,26,1
thresh,oDel,-0.00292816202478104,26,1
thresh,cInfo,-0.003660235192788126,26,1
bias,0,-0.10051441275454243,26,1
bias,oDel,0.02499101049909468,26,1
