param,val,subj_idx,gLen
t,0.10012009832370976,303,6
t,0.16106663939004207,303,1
t,0.05867338908859511,305,6
t,0.0731577387315622,305,1
t,0.09938540422326277,306,6
t,0.10240049171581518,306,1
t,0.17801168951482013,308,6
t,0.06913085920585763,308,1
t,0.083639651719212,309,6
t,0.08702579023641516,309,1
t,0.050671299094833956,30,6
t,0.0397836630453996,30,1
t,0.062061967975798556,310,6
t,0.05998383465681238,310,1
t,0.13069543305830525,311,6
t,0.11000316763469027,311,1
t,0.034437838177232935,312,6
t,0.05278210781802405,312,1
t,0.06469908960833616,314,6
t,0.04925226464093794,314,1
t,0.10257999399518186,315,6
t,0.32402450380618614,315,1
t,0.16720860615980115,316,6
t,0.08304810083904647,316,1
t,0.05474198887425841,317,6
t,0.09126065320660912,317,1
t,0.07684924701925455,319,6
t,0.05711974965961782,319,1
t,0.12315903934249875,31,6
t,0.06622052216404811,31,1
t,0.09217405560066902,320,6
t,0.08461802915944457,320,1
t,0.10346784971470388,321,6
t,0.0922234663353984,321,1
t,0.09597926146110347,322,6
t,0.06066367283032088,322,1
t,0.07958165311141344,323,6
t,0.07273542563756712,323,1
t,0.040554104507068124,324,6
t,0.04590432669003291,324,1
t,0.1151927297047799,325,6
t,0.06470885195542471,325,1
t,0.052644583680407954,326,6
t,0.05086805724845469,326,1
t,0.1241023855565441,327,6
t,0.1049910094437055,327,1
t,0.08816298968467555,329,6
t,0.11221994410426632,329,1
t,0.11273196763350621,32,6
t,0.09661819890025825,32,1
t,0.18193835846726786,333,6
t,0.14896135526492096,333,1
t,0.0739991750939605,334,6
t,0.046392850916281585,334,1
t,0.0912614720589751,335,6
t,0.04611818784406818,335,1
t,0.059317687058570524,336,6
t,0.08926723589050216,336,1
t,0.05557349425062997,337,6
t,0.09248561649265812,337,1
t,0.0818827957654822,338,6
t,0.07433613926459501,338,1
t,0.14779357956133182,339,6
t,0.190061867500599,339,1
t,0.11536682101307034,340,6
t,0.04040102843087803,340,1
t,0.03148482928562708,341,6
t,0.0387325363512052,341,1
t,0.07868875805132038,342,6
t,0.06029983425581603,342,1
t,0.07085698404829582,343,6
t,0.08246898213166609,343,1
t,0.13587573937029415,344,6
t,0.05807633174976232,344,1
t,0.1332259028601434,346,6
t,0.08045497400022542,346,1
t,0.04009150390344847,347,6
t,0.05695670174936033,347,1
t,0.23102138471439346,348,6
t,0.07164375326089659,348,1
t,0.17238792447799856,349,6
t,0.16192635430804428,349,1
t,0.047945587256206165,34,6
t,0.05601006108524167,34,1
t,0.0982274422217119,350,6
t,0.06694105022829647,350,1
t,0.11513579013080039,351,6
t,0.0753472335354699,351,1
t,0.0650969762901649,352,6
t,0.04129738524401103,352,1
t,0.17848465036686265,353,6
t,0.10584623225102875,353,1
t,0.07312255395500136,354,6
t,0.08683525848561313,354,1
t,0.03776171044777691,355,6
t,0.06331537962086,355,1
t,0.13242486259904984,357,6
t,0.05883780140598305,357,1
t,0.033654028358150824,359,6
t,0.054093546702134204,359,1
t,0.11904506853483685,35,6
t,0.06725514166224747,35,1
t,0.07743057064918175,360,6
t,0.05643206763813832,360,1
t,0.14248326138629572,361,6
t,0.13563520843042098,361,1
t,0.07135892179229535,363,6
t,0.1521139044709986,363,1
t,0.14354070556835727,364,6
t,0.1557798213466024,364,1
t,0.035747817593411696,365,6
t,0.029571986073725978,365,1
t,0.05848997136089756,366,6
t,0.168301138831638,366,1
t,0.07819653058839157,369,6
t,0.12168068365601872,369,1
t,0.06304581163820688,36,6
t,0.05690872180855945,36,1
t,0.07943163508519209,37,6
t,0.13078917682601685,37,1
t,0.03842802391476522,38,6
t,0.07048879278323503,38,1
t,0.051206167371618566,39,6
t,0.044370946904539875,39,1
t,0.04079669320124985,3,6
t,0.03944628929429995,3,1
t,0.09884676009020375,40,6
t,0.09119662958765438,40,1
t,0.04810365023799084,41,6
t,0.03329964231314411,41,1
t,0.2172120679881853,42,6
t,0.18943027639170212,42,1
t,0.02986439089937709,43,6
t,0.059154380637379406,43,1
t,0.19667487468482225,44,6
t,0.07910303416869419,44,1
t,0.059664300980731125,45,6
t,0.07738771020685606,45,1
t,0.07086425761704424,46,6
t,0.08353589520806279,46,1
t,0.06838734443765435,47,6
t,0.08225365993700524,47,1
t,0.07801986449976386,48,6
t,0.03871836052010537,48,1
t,0.09748832340090681,49,6
t,0.061159191444020836,49,1
t,0.031196660844703683,4,6
