DDM,EXP,val,subj_idx,gLen
drift,cInfo,0.024851333581272735,15,6
thresh,0,1.1167564680186237,15,6
thresh,oDel,0.008445557662024775,15,6
thresh,cInfo,0.00765750609353125,15,6
bias,0,0.22293696200125557,15,6
bias,oDel,0.014375418368097097,15,6
bias,cInfo,0.07961099165460077,15,6
drift,0,2.2220042822928323,15,1
drift,oDel,-0.004583771248514877,15,1
drift,cInfo,0.16146855752990172,15,1
thresh,0,1.1610498160246183,15,1
thresh,oDel,-0.018364034741772582,15,1
thresh,cInfo,-9.560642132751538e-4,15,1
bias,0,0.18408402589814155,15,1
bias,oDel,-0.031021339559701808,15,1
bias,cInfo,-0.16110681605455304,15,1
drift,0,1.4195863994324434,16,6
drift,oDel,-8.554006755554356e-4,16,6
drift,cInfo,0.1233179130779038,16,6
thresh,0,1.2921550431280038,16,6
thresh,oDel,7.565790199474229e-4,16,6
thresh,cInfo,-0.024187269951636885,16,6
bias,0,0.18946288415966828,16,6
bias,oDel,0.0042230224818931815,16,6
bias,cInfo,-0.14232489003961873,16,6
drift,0,1.858200200113657,16,1
drift,oDel,-0.0016237051459261616,16,1
drift,cInfo,-0.0912867368576813,16,1
thresh,0,1.03507117565559,16,1
thresh,oDel,-0.0018569778736651779,16,1
thresh,cInfo,0.024305489975076033,16,1
bias,0,0.18607763667771526,16,1
bias,oDel,0.002307295244204586,16,1
bias,cInfo,-0.05727967720614965,16,1
drift,0,2.2409883817228047,18,6
drift,oDel,0.008507498804641769,18,6
drift,cInfo,-0.1911734415332783,18,6
thresh,0,1.0713163497006022,18,6
thresh,oDel,2.3764618917361392e-4,18,6
thresh,cInfo,0.08095125539300911,18,6
bias,0,0.1592677848715328,18,6
bias,oDel,0.0018093514802413075,18,6
bias,cInfo,0.048238596665010944,18,6
drift,0,2.0587052175479537,18,1
drift,oDel,0.005136525139201924,18,1
drift,cInfo,0.051777685857043176,18,1
thresh,0,1.2474236576528257,18,1
thresh,oDel,0.021555013385056228,18,1
thresh,cInfo,0.06975384684477888,18,1
bias,0,0.24025117793333117,18,1
bias,oDel,0.039386313170924385,18,1
bias,cInfo,0.23490944329844543,18,1
drift,0,1.3661302521791463,19,6
drift,oDel,-0.007031917524878473,19,6
drift,cInfo,0.11284667985685197,19,6
thresh,0,1.26395665156592,19,6
thresh,oDel,0.005034628041292917,19,6
thresh,cInfo,-0.02723403361284102,19,6
bias,0,0.22346814434662154,19,6
bias,oDel,-1.8623804417552581e-4,19,6
bias,cInfo,0.03362944897048199,19,6
drift,0,1.4853905358997046,19,1
drift,oDel,-0.00878503841306266,19,1
drift,cInfo,0.27622847001038664,19,1
thresh,0,1.3080945134007649,19,1
thresh,oDel,0.021080201005799572,19,1
thresh,cInfo,7.558287279689335e-4,19,1
bias,0,0.24021798532933147,19,1
bias,oDel,0.03526707415891949,19,1
bias,cInfo,-0.14430657602669753,19,1
drift,0,1.5536524383784744,20,6
drift,oDel,-0.005435687133251288,20,6
drift,cInfo,-0.031469329241628444,20,6
thresh,0,1.1515254960115382,20,6
thresh,oDel,0.004174187465816469,20,6
thresh,cInfo,0.002592775996948077,20,6
bias,0,0.22226013444468884,20,6
bias,oDel,0.008249041121143065,20,6
bias,cInfo,-0.054932608347030946,20,6
drift,0,1.6286401359176375,20,1
drift,oDel,-0.003352379054908352,20,1
drift,cInfo,0.07312678263899654,20,1
thresh,0,1.2227728791281935,20,1
thresh,oDel,0.01194534063823174,20,1
thresh,cInfo,0.012893150210531572,20,1
bias,0,0.22605780196929526,20,1
bias,oDel,0.024393922725046747,20,1
bias,cInfo,-0.05674911940122683,20,1
drift,0,1.4006667092514262,22,6
drift,oDel,-0.0047098768383777665,22,6
drift,cInfo,0.051955206882984786,22,6
thresh,0,1.390642060871967,22,6
thresh,oDel,0.004371120052112636,22,6
thresh,cInfo,-0.018409273884337305,22,6
bias,0,0.1623886245461924,22,6
bias,oDel,-0.003079501843724516,22,6
bias,cInfo,-0.0403649983779228,22,6
drift,0,1.5771164367666441,22,1
drift,oDel,4.47516936112241e-4,22,1
drift,cInfo,-0.14290860946571157,22,1
thresh,0,1.3426199782236563,22,1
thresh,oDel,0.01938637612807996,22,1
thresh,cInfo,-0.012647412036043627,22,1
bias,0,0.2590364245243634,22,1
bias,oDel,0.0389080401669309,22,1
bias,cInfo,-0.019207567011226123,22,1
drift,0,1.4251576113881264,23,6
drift,oDel,0.006183074960943442,23,6
drift,cInfo,-0.28146473915937986,23,6
thresh,0,1.156796711757884,23,6
thresh,oDel,-7.419278086315634e-4,23,6
thresh,cInfo,0.04341270384390246,23,6
bias,0,0.24371463266826465,23,6
bias,oDel,-0.009222249873169134,23,6
bias,cInfo,0.40506082809243665,23,6
drift,0,2.415132339470459,23,1
drift,oDel,-0.008686255713019286,23,1
drift,cInfo,0.0937247142707923,23,1
thresh,0,1.1132173357933315,23,1
thresh,oDel,-0.016897076676224133,23,1
thresh,cInfo,0.08847155171003421,23,1
bias,0,0.24916611791228727,23,1
bias,oDel,-0.04356599191640159,23,1
bias,cInfo,-0.0305122212292598,23,1
drift,0,3.2141639725877558,25,6
drift,oDel,-0.018305859714323636,25,6
drift,cInfo,0.13073166027820984,25,6
thresh,0,0.7875476674396686,25,6
thresh,oDel,3.713169552185099e-4,25,6
thresh,cInfo,-0.03518541269014549,25,6
bias,0,0.12506441388578415,25,6
bias,oDel,0.008229957502323967,25,6
bias,cInfo,0.021157710758141858,25,6
drift,0,2.9138384588516146,25,1
drift,oDel,0.0020740966931133086,25,1
drift,cInfo,-0.05028180365006946,25,1
thresh,0,0.7435358821470961,25,1
thresh,oDel,-0.001492747488221887,25,1
thresh,cInfo,-0.014470344743117746,25,1
bias,0,0.15746181477957755,25,1
bias,oDel,0.0036150549126979705,25,1
bias,cInfo,0.03102943265568385,25,1
drift,0,1.7224683569421502,26,6
drift,oDel,-0.020759167843095193,26,6
drift,cInfo,0.002118353327984057,26,6
thresh,0,1.1439099150965277,26,6
thresh,oDel,0.013761771362210365,26,6
thresh,cInfo,-0.04730267735745724,26,6
bias,0,0.22568305795324328,26,6
bias,oDel,0.02941390830605413,26,6
bias,cInfo,-0.0010587656176080404,26,6
drift,0,1.5092075320913827,26,1
drift,oDel,0.021442366337699376,26,1
drift,cInfo,-0.09119448169941202,26,1
thresh,0,1.1669089748090244,26,1
thresh,oDel,-0.0184332472811689,26,1
thresh,cInfo,0.08019529400881716,26,1
bias,0,0.27163837816761816,26,1
bias,oDel,-0.034232912121031286,26,1
bias,cInfo,0.2948198777524414,26,1
drift,0,1.923028995191925,27,6
drift,oDel,-0.013788669818083112,27,6
drift,cInfo,0.08982535347992501,27,6
thresh,0,1.0137324697066825,27,6
thresh,oDel,0.001094142288525165,27,6
thresh,cInfo,-0.02406056806421346,27,6
bias,0,0.2055428689114751,27,6
bias,oDel,0.012113649732099543,27,6
bias,cInfo,-0.23384458424945387,27,6
drift,0,1.321536052022202,27,1
drift,oDel,0.004985549002067489,27,1
drift,cInfo,0.015734033640398607,27,1
thresh,0,1.4387502445058797,27,1
thresh,oDel,0.007419591459601452,27,1
thresh,cInfo,0.06601673435736054,27,1
bias,0,0.21258933490781395,27,1
bias,oDel,-0.002212019213421056,27,1
bias,cInfo,-0.14921770756406566,27,1
drift,0,1.5870366681618977,28,6
drift,oDel,-0.003776253253208002,28,6
drift,cInfo,0.10800028905004719,28,6
thresh,0,1.499943545917559,28,6
thresh,oDel,0.001961723113780714,28,6
thresh,cInfo,0.07939917992907097,28,6
bias,0,0.13859520080491472,28,6
bias,oDel,0.0053157562148077745,28,6
bias,cInfo,-0.10047670831706668,28,6
drift,0,1.4837508661589502,28,1
drift,oDel,0.012669996051286048,28,1
drift,cInfo,0.2100573249351782,28,1
thresh,0,1.4133531908967107,28,1
thresh,oDel,-0.016526862185497444,28,1
thresh,cInfo,0.036159369492156944,28,1
bias,0,0.2191484656949756,28,1
bias,oDel,-0.03370117279023594,28,1
bias,cInfo,-0.040710333329657844,28,1
drift,0,1.9612347223366378,2,6
drift,oDel,-0.005504235630779636,2,6
drift,cInfo,-0.032841104645080464,2,6
thresh,0,1.3711497074438912,2,6
thresh,oDel,0.0020857425864153315,2,6
thresh,cInfo,0.09426272420266801,2,6
bias,0,0.1209639232516766,2,6
bias,oDel,0.012282844756699997,2,6
bias,cInfo,0.23071631932458017,2,6
drift,0,2.1968651954805996,2,1
drift,oDel,0.02030695734398925,2,1
drift,cInfo,0.14582504127112317,2,1
thresh,0,1.1117623971315165,2,1
thresh,oDel,-0.01841495333495145,2,1
thresh,cInfo,0.09610745868124701,2,1
bias,0,0.17994143524213357,2,1
bias,oDel,-0.03011807038718913,2,1
bias,cInfo,0.020684068207399632,2,1
drift,0,1.498148217241451,30,6
drift,oDel,0.004036195674474095,30,6
drift,cInfo,-0.03289139610453411,30,6
thresh,0,1.3392909551205665,30,6
thresh,oDel,-0.011505133494808993,30,6
thresh,cInfo,-0.1397926271961779,30,6
bias,0,0.2219987642785588,30,6
bias,oDel,-0.019553180355397853,30,6
bias,cInfo,0.021408946853825866,30,6
drift,0,2.045013066250448,30,1
drift,oDel,-0.004831478058545817,30,1
drift,cInfo,0.27299160315466636,30,1
thresh,0,1.2295672177222947,30,1
thresh,oDel,0.012678384840281748,30,1
thresh,cInfo,-0.1432843001371663,30,1
bias,0,0.15613746883197333,30,1
bias,oDel,0.02468378016732684,30,1
bias,cInfo,-0.10922014645403755,30,1
drift,0,1.8005906327627637,31,6
drift,oDel,0.0026412621141414946,31,6
drift,cInfo,0.5027149352838569,31,6
thresh,0,1.3488107825634938,31,6
thresh,oDel,-0.008688276716440173,31,6
thresh,cInfo,-0.07257731136647207,31,6
bias,0,0.14939631200189918,31,6
bias,oDel,-0.019198192775936884,31,6
bias,cInfo,-0.27825803481004563,31,6
drift,0,1.4802142739550248,31,1
drift,oDel,0.010974378199390214,31,1
drift,cInfo,0.02590899594952354,31,1
thresh,0,1.3970596928765013,31,1
thresh,oDel,-0.015009116555949756,31,1
thresh,cInfo,0.06985340625777241,31,1
bias,0,0.21532549972763715,31,1
bias,oDel,-0.03234185134973265,31,1
bias,cInfo,-0.3057542842272628,31,1
drift,0,1.6347409494403984,39,6
drift,oDel,0.0034622174307865363,39,6
drift,cInfo,-0.243548130413832,39,6
thresh,0,1.12200358904093,39,6
thresh,oDel,-0.001705051865788038,39,6
thresh,cInfo,0.08414673628089811,39,6
bias,0,0.22019292131695867,39,6
bias,oDel,5.80000547058977e-4,39,6
bias,cInfo,0.15215405631824172,39,6
drift,0,1.7044572621433904,39,1
drift,oDel,0.007923581971167907,39,1
drift,cInfo,0.10930531517055075,39,1
thresh,0,1.2907569358643083,39,1
thresh,oDel,-0.023535449705524663,39,1
thresh,cInfo,-0.002540128648701119,39,1
bias,0,0.2431160440633714,39,1
bias,oDel,-0.04755443767330966,39,1
bias,cInfo,0.12842310244869412,39,1
drift,0,1.847090380876336,3,6
drift,oDel,-0.010595535273870759,3,6
drift,cInfo,0.29240281777822114,3,6
thresh,0,1.1807791582750984,3,6
thresh,oDel,0.016823615633861255,3,6
thresh,cInfo,0.1798743202855968,3,6
bias,0,0.2229541332184577,3,6
bias,oDel,0.03157335926613227,3,6
bias,cInfo,0.2749263198332634,3,6
drift,0,1.4836527254290077,3,1
drift,oDel,-0.003168332747715024,3,1
drift,cInfo,0.23412977502374993,3,1
thresh,0,1.2044298317608177,3,1
thresh,oDel,0.010793593858587724,3,1
thresh,cInfo,-0.11018366632461023,3,1
bias,0,0.2392477532936571,3,1
bias,oDel,0.016914147929524812,3,1
bias,cInfo,-0.2740713488529898,3,1
drift,0,1.811844973393686,40,6
drift,oDel,-0.015318633245674486,40,6
drift,cInfo,-0.18640146680702638,40,6
thresh,0,1.275729726847641,40,6
thresh,oDel,0.010529584783927877,40,6
thresh,cInfo,0.18707706283905046,40,6
bias,0,0.1400420619371564,40,6
bias,oDel,0.01685805009598506,40,6
bias,cInfo,0.4613527648786872,40,6
drift,0,1.9331005156760455,40,1
drift,oDel,0.010826586740300511,40,1
drift,cInfo,0.05724091748459162,40,1
thresh,0,1.10835103396857,40,1
thresh,oDel,-0.00550103512749951,40,1
