Subject,Horizon,dR,dI,rt,x0,z,A,T0
1,6,29.33333333,-1,0.39,-0.129627167,0.55437982,0.723193684,0.064435515
1,6,-16,0,0.91,-0.075309744,0.669971905,-0.385288074,0.064435515
1,6,-28.33333333,-1,1.92,-0.191912571,0.628855692,-0.202825959,0.064435515
1,1,24,0,0.32,0.091864243,0.873577496,0.411402289,0.016273834
1,6,-11.5,0,0.27,-0.070345012,0.664160204,-0.313026426,0.064435515
1,1,4,-1,1.05,-0.043161352,0.882659781,0.079239807,0.016273834
1,6,-1.666666667,-1,0.13,-0.163270124,0.594415982,0.225391217,0.064435515
1,6,-13.33333333,-1,0.38,-0.175838108,0.609483355,0.038046203,0.064435515
1,6,29.5,0,0.16,-0.024980679,0.611209151,0.345357482,0.064435515
1,1,21,1,0.8,0.113793048,0.799534694,0.303113896,0.016273834
1,1,-12,0,1.81,-0.084773399,0.771900166,-0.277999081,0.016273834
1,1,13,1,0.39,0.074792282,0.776939732,0.149913591,0.016273834
1,1,12,0,0.66,0.033078126,0.839685053,0.181601832,0.016273834
1,1,-11,1,0.22,-0.043108608,0.709154846,-0.309687323,0.016273834
1,1,36,-1,0.43,0.113740889,0.973039629,0.692041026,0.016273834
1,6,-11,-1,0.1,-0.173328954,0.606469881,0.075515206,0.064435515
1,6,11.33333333,1,0.13,0.059982201,0.691715782,-0.326878029,0.064435515
1,6,13.5,0,0.25,-0.042706427,0.631872977,0.088427176,0.064435515
1,6,-17.33333333,-1,0.05,-0.180134188,0.614649312,-0.026186374,0.064435515
1,6,6,1,0.37,0.054085947,0.698603724,-0.412521464,0.064435515
1,6,25.66666667,-1,0.46,-0.133623617,0.55911528,0.664313823,0.064435515
1,1,15.33333333,-1,1.13,0.012565277,0.914669311,0.296273572,0.016273834
1,6,35,0,0.52,-0.018883258,0.604105961,0.433677274,0.064435515
1,1,18.5,0,0.12,0.064975158,0.858043459,0.30607708,0.016273834
1,1,26.66666667,1,0.18,0.141215041,0.815539459,0.411630778,0.016273834
1,6,-23,0,0.12,-0.083025155,0.679012329,-0.497695083,0.064435515
1,1,-10.33333333,-1,0.23,-0.113213302,0.842177141,-0.195244072,0.016273834
1,6,-32.33333333,1,0.33,0.0116205,0.748110807,-1.028083654,0.064435515
1,1,-16,1,0.17,-0.067629358,0.695032995,-0.405437513,0.016273834
1,1,-16.5,0,0.39,-0.106707226,0.7591905,-0.364174253,0.016273834
1,6,12.66666667,-1,0.48,-0.147757015,0.575904638,0.455557949,0.064435515
1,6,19.5,0,0.34,-0.036061821,0.624124042,0.184776041,0.064435515
1,1,16,0,1.2,0.052719201,0.850982534,0.258201985,0.016273834
1,1,-11,0,0.18,-0.079887273,0.774724537,-0.258849043,0.016273834
1,6,2,1,0.44,0.049661258,0.70376968,-0.47675404,0.064435515
1,1,-24,-1,0.15,-0.178984771,0.803577414,-0.456961259,0.016273834
1,1,9,0,1.04,0.018329701,0.831211942,0.124151718,0.016273834
1,6,40.33333333,1,0.11,0.091959358,0.654262598,0.13880815,0.064435515
1,6,30,-1,0.11,-0.128900083,0.553518827,0.733899114,0.064435515
1,6,30,-1,0.53,-0.128900083,0.553518827,0.733899114,0.064435515
1,6,40.66666667,1,0.32,0.092325938,0.653832102,0.144160865,0.064435515
1,6,-8.666666667,1,0.23,0.037853021,0.717545564,-0.648040911,0.064435515
1,1,6.5,0,0.36,0.006032978,0.824151016,0.076276623,0.016273834
1,6,6.333333333,-1,0.12,-0.154621086,0.584084069,0.35385637,0.064435515
1,6,13,1,0.16,0.061823942,0.6895633,-0.300114455,0.064435515
1,6,-22,-1,0.56,-0.185137598,0.620676261,-0.101124379,0.064435515
1,1,17.33333333,-1,1.35,0.022401153,0.920318051,0.334573648,0.016273834
1,1,-30.5,0,0.43,-0.17419311,0.719649317,-0.632274786,0.016273834
1,1,21.33333333,-1,1.34,0.042058001,0.931615532,0.411173801,0.016273834
