DDM,EXP,val,subj_idx,gLen
bias,0,0.17996635789342452,15,6
bias,oDel,0.03751039671801994,15,6
bias,cInfo,-0.09234496438684205,15,6
drift,0,2.54684936951218,15,1
drift,oDel,-0.029155696501732657,15,1
drift,cInfo,0.29287500547086676,15,1
thresh,0,1.074352746250239,15,1
thresh,oDel,0.016217130664386212,15,1
thresh,cInfo,0.07573477638660114,15,1
bias,0,0.1678653218853482,15,1
bias,oDel,0.0401117994475861,15,1
bias,cInfo,-0.04341282249148507,15,1
drift,0,1.4201340104195126,16,6
drift,oDel,0.005871244715016683,16,6
drift,cInfo,-0.19251207851771207,16,6
thresh,0,1.2558949358686473,16,6
thresh,oDel,-3.7187381417789497e-4,16,6
thresh,cInfo,0.033183708014412214,16,6
bias,0,0.20480294116427422,16,6
bias,oDel,-0.008381401454004834,16,6
bias,cInfo,0.16167583554169757,16,6
drift,0,1.8770549298619832,16,1
drift,oDel,-0.006842127337492555,16,1
drift,cInfo,-0.026593199169040307,16,1
thresh,0,1.1610865460653423,16,1
thresh,oDel,0.003899762281265025,16,1
thresh,cInfo,0.006453159990165293,16,1
bias,0,0.1860238585809718,16,1
bias,oDel,0.00601820651666829,16,1
bias,cInfo,0.04333412538018071,16,1
drift,0,2.1592133782038934,18,6
drift,oDel,0.0074484080213688,18,6
drift,cInfo,0.04051090153085798,18,6
thresh,0,1.0468642348473343,18,6
thresh,oDel,-0.003212115764510341,18,6
thresh,cInfo,0.0623242283544378,18,6
bias,0,0.17677098306220607,18,6
bias,oDel,-0.020380593163688534,18,6
bias,cInfo,0.06453059628722937,18,6
drift,0,1.8372259998416067,18,1
drift,oDel,0.010920508368598373,18,1
drift,cInfo,0.2957733154805241,18,1
thresh,0,1.1884217820851868,18,1
thresh,oDel,-0.016556128513224258,18,1
thresh,cInfo,-0.028436234401048456,18,1
bias,0,0.22627363531609046,18,1
bias,oDel,-0.03881730405427778,18,1
bias,cInfo,-0.08972147464924096,18,1
drift,0,1.4097279669983265,19,6
drift,oDel,-0.007422745291222949,19,6
drift,cInfo,0.3443373300245667,19,6
thresh,0,1.3094743974782677,19,6
thresh,oDel,-0.0016428718182002317,19,6
thresh,cInfo,-0.0623837052924869,19,6
bias,0,0.205399513107423,19,6
bias,oDel,0.009358886534740308,19,6
bias,cInfo,-0.25283548361840563,19,6
drift,0,1.703452263916183,19,1
drift,oDel,-0.010290159644008392,19,1
drift,cInfo,0.11502004435560063,19,1
thresh,0,1.2920432552050936,19,1
thresh,oDel,0.014486479432766977,19,1
thresh,cInfo,-0.21868879234221164,19,1
bias,0,0.22962795575662787,19,1
bias,oDel,0.04178340252194954,19,1
bias,cInfo,-0.10042489605713575,19,1
drift,0,1.7490217856580863,20,6
drift,oDel,-5.333730489691887e-4,20,6
drift,cInfo,0.1827686880860321,20,6
thresh,0,1.1126649863859184,20,6
thresh,oDel,-0.0030732769407987057,20,6
thresh,cInfo,0.003121808550260424,20,6
bias,0,0.21216853366671684,20,6
bias,oDel,0.007667765371194411,20,6
bias,cInfo,-0.11423521236694369,20,6
drift,0,1.4838463121142536,20,1
drift,oDel,-0.0035250810700674885,20,1
drift,cInfo,-0.04633213592498801,20,1
thresh,0,1.178926562304127,20,1
